Starting Epoch 0:
         3450277 function calls (3439970 primitive calls) in 9.480 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   119936    1.104    0.000    1.989    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      937    0.723    0.001    3.042    0.003 examples/cnn/train_cnn.py:37(augmentation)
     1874    0.513    0.000    0.513    0.000 {built-in method singa._singa_wrap.Tensor_ToHost}
    43110    0.435    0.000    1.487    0.000 /root/singa-hp8/build/python/singa/tensor.py:91(__init__)
    63716    0.374    0.000    0.374    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     7496    0.287    0.000    0.313    0.000 {built-in method singa._singa_wrap.Tensor___imul__}
     8433    0.257    0.000    1.381    0.000 /root/singa-hp8/build/python/singa/autograd.py:128(backward)
    22488    0.239    0.000    0.239    0.000 {built-in method singa._singa_wrap.Axpy}
    18748    0.235    0.000    0.235    0.000 {built-in method singa._singa_wrap.Tensor_SetFloatValue}
    61842    0.216    0.000    0.681    0.000 /root/miniconda/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
   132125    0.207    0.000    0.207    0.000 /root/singa-hp8/build/python/singa/singa_wrap.py:51(_swig_setattr_nondynamic)
    14992    0.173    0.000    0.221    0.000 {built-in method singa._singa_wrap.Tensor___isub__}
    12181    0.160    0.000    1.214    0.000 /root/singa-hp8/build/python/singa/autograd.py:270(_do_forward)
     5622    0.155    0.000    0.173    0.000 {built-in method singa._singa_wrap.Mult}
     1874    0.147    0.000    0.155    0.000 /root/miniconda/lib/python3.8/site-packages/numpy/lib/arraypad.py:299(_set_reflect_both)
    43110    0.123    0.000    0.156    0.000 /root/singa-hp8/build/python/singa/autograd.py:239(__init__)
    23433    0.113    0.000    0.121    0.000 /root/singa-hp8/build/python/singa/singa_wrap.py:74(_swig_getattr)
    23433    0.105    0.000    0.396    0.000 /root/singa-hp8/build/python/singa/singa_wrap.py:532(__init__)
    61842    0.103    0.000    0.784    0.000 /root/miniconda/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2881(prod)
    41228    0.101    0.000    0.212    0.000 {built-in method singa._singa_wrap.Tensor_device}
     6559    0.099    0.000    0.120    0.000 {built-in method singa._singa_wrap.Tensor_AsType}
